# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-5.80000E+02	-5.79987E+02	1.00000E+06	4.60450E-11	3.14108E-15	2.35070E+05	1.93839E+03	-2.39614E-04
-5.90000E+02	-5.89995E+02	1.00000E+04	4.54539E-11	5.29702E-15	7.69460E+06	4.62702E+04	-2.43792E-04
-5.90000E+02	-5.89995E+02	1.00000E+05	4.60889E-11	6.49923E-16	3.09089E+06	3.30852E+03	-2.43792E-04
-5.90000E+02	-5.89995E+02	1.00000E+06	4.60415E-11	4.05019E-15	2.34616E+05	1.36603E+03	-2.43792E-04
-6.00000E+02	-6.00003E+02	1.00000E+04	4.54538E-11	6.73718E-15	7.73145E+06	4.27289E+04	-2.48183E-04
-6.00000E+02	-6.00003E+02	1.00000E+05	4.60892E-11	2.48193E-16	3.08676E+06	4.08016E+03	-2.48183E-04
-6.00000E+02	-6.00003E+02	1.00000E+06	4.60430E-11	4.36742E-15	2.35116E+05	5.77026E+02	-2.48183E-04
-6.10000E+02	-6.09993E+02	1.00000E+04	4.54510E-11	4.87918E-15	7.70058E+06	1.17470E+04	-2.52651E-04
-6.10000E+02	-6.09993E+02	1.00000E+05	4.60888E-11	3.81576E-16	3.08394E+06	1.01261E+03	-2.52651E-04
-6.10000E+02	-6.09993E+02	1.00000E+06	4.60441E-11	2.71116E-15	2.35127E+05	1.24409E+03	-2.52651E-04
-6.20000E+02	-6.20000E+02	1.00000E+04	4.54527E-11	7.97029E-15	7.67245E+06	1.35485E+04	-2.56767E-04
-6.20000E+02	-6.20000E+02	1.00000E+05	4.60879E-11	4.24264E-16	3.08636E+06	5.12215E+03	-2.56767E-04
-6.20000E+02	-6.20000E+02	1.00000E+06	4.60437E-11	3.04000E-15	2.34625E+05	1.57377E+03	-2.56767E-04
-6.30000E+02	-6.30007E+02	1.00000E+04	4.54506E-11	1.13062E-14	7.69456E+06	1.19325E+04	-2.60903E-04
-6.30000E+02	-6.30007E+02	1.00000E+05	4.60880E-11	8.10925E-16	3.08106E+06	9.21963E+02	-2.60903E-04
