# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-1.40000E+02	2.50005E+00	1.61379E-05	1.63571E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	2.99995E+00	1.62040E-05	1.45144E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	3.49992E+00	1.62678E-05	1.39124E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	4.00014E+00	1.63273E-05	6.59966E-11	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	4.50001E+00	1.63888E-05	1.02089E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	4.99992E+00	1.64491E-05	5.55778E-11	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.50000E+02	-1.64966E-06	1.64969E-05	9.27362E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	4.99980E-01	1.65616E-05	1.47045E-10	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	9.99994E-01	1.66281E-05	5.79272E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	1.49997E+00	1.66921E-05	1.63911E-10	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	1.99999E+00	1.67587E-05	4.24264E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	2.50004E+00	1.68230E-05	6.23610E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	2.99995E+00	1.68862E-05	3.30757E-10	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	3.49994E+00	1.69482E-05	4.78423E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	4.00016E+00	1.70095E-05	6.79869E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	4.50001E+00	1.70716E-05	5.09902E-11	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
-1.50000E+02	4.99991E+00	1.71298E-05	2.73780E-10	7.90721E+06	7.91981E+06	3.44362E+04	1.62810E+04	-7.67259E-05
